20110401_1000mercis_14461469_html.msg,"From: ""Darty"" <infos@contact-darty.com>
","To: 1000mercis@cp.assurance.returnpath.net
","Date: 01 Apr 2011 16:17:41 +0200
",0
20110401_citibanksingaporelimited_14456499_multialt.msg,"Date: Fri, 1 Apr 2011 02:57:21 GMT
","From: customer.service@citicorp.com
","To: citibanksingaporelimited@cp.monitor1.returnpath.net
",0
20110401_cobaltgroup_14464029_html.msg,"Date: Fri, 1 Apr 2011 16:25:17 +0000 (UTC)
","From: Hometown Motors <klongfield.10162425@dealer.onstation.com>
","To: cobaltgroup@cp.monitor1.returnpath.net
",0
20110401_corel_14460139_html.msg,"Date: Fri, 01 Apr 2011 05:52:55 PDT
","From: Corel <news@email1-corel.com>
","To: corel@cp.monitor1.returnpath.net
",0
20110401_aeg_14465739_html.msg,"From: ""LA Galaxy"" <enews@events.lagalaxy.com>
","To: <aeg@cp.delivery.ncrcustomerpower.com>
","Date: Fri, 01 Apr 2011 12:06:22 -0600
",0
20110401_americancollegiatemarketing_14461959_multialt.msg,"From: <Amway@MagazineLine.com>
","To: <americancollegiatemarketing@cp.monitor1.returnpath.net>
","Date: Fri, 1 Apr 2011 10:38:16 -0400
",0
20110401_alchemyworx_14461429_multialt.msg,"Date: Fri, 1 Apr 2011 14:14:49 -0000
","From: =?utf-8?q?Aviva?= <aviva@avivaemail.co.uk>
","To: alchemyworx@cp.assurance.returnpath.net
",0
20110401_1000mercis_14461469_html.msg,0,0,0,0
20110401_compostmarketingab_14459379_multialt.msg,0,0,0,0
20110401_aamarketinginc_14456749_html.msg,0,0,0,0
20110401_boydgamingcorporation_14465279_multialt.msg,0,0,0,0
20110401_beliefnet_14461399_html.msg,0,0,0,0
20110401_beliefnet_14464159_html.msg,0,0,0,0
20110401_citibanksingaporelimited_14456499_multialt.msg,0,0,0,0
20110401_cobaltgroup_14464029_html.msg,0,0,0,0
20110401_corel_14460139_html.msg,0,0,0,0
20110401_aeg_14465739_html.msg,0,0,0,0
20110401_americancollegiatemarketing_14461959_multialt.msg,0,0,0,0
20110401_alchemyworx_14461429_multialt.msg,0,0,0,0
